Date,Avg_DP
1-Jan-20,24.5
2-Jan-20,33.3
3-Jan-20,30.3
4-Jan-20,25
5-Jan-20,25.3
6-Jan-20,20
7-Jan-20,22.2
8-Jan-20,6.8
9-Jan-20,30.4
10-Jan-20,41.9
11-Jan-20,30.5
12-Jan-20,24.4
13-Jan-20,27.9
14-Jan-20,31.7
15-Jan-20,31.4
16-Jan-20,10
17-Jan-20,17.9
18-Jan-20,24
19-Jan-20,2.5
20-Jan-20,15.5
21-Jan-20,16.3
22-Jan-20,19.6
23-Jan-20,29.3
24-Jan-20,35.6
25-Jan-20,32.4
26-Jan-20,27.6
27-Jan-20,27.6
28-Jan-20,25
29-Jan-20,25.3
30-Jan-20,23.5
31-Jan-20,28.7
1-Feb-20,30.9
2-Feb-20,31.8
3-Feb-20,31.8
4-Feb-20,25.6
5-Feb-20,21
6-Feb-20,23.9
7-Feb-20,16.8
8-Feb-20,21.7
9-Feb-20,27.8
10-Feb-20,24.6
11-Feb-20,20.9
12-Feb-20,26.4
13-Feb-20,13.7
14-Feb-20,-5.5
15-Feb-20,14.7
16-Feb-20,21.8
17-Feb-20,29.9
18-Feb-20,26.6
19-Feb-20,4.8
20-Feb-20,-2.6
21-Feb-20,8.7
22-Feb-20,20.9
23-Feb-20,28
24-Feb-20,30.2
25-Feb-20,31
26-Feb-20,23
27-Feb-20,13.4
28-Feb-20,6.8
29-Feb-20,9.2
1-Mar-20,32.9
2-Mar-20,30.6
3-Mar-20,28.4
4-Mar-20,26.5
5-Mar-20,26.8
6-Mar-20,23.1
7-Mar-20,21.9
8-Mar-20,25.3
9-Mar-20,46.4
10-Mar-20,34.7
11-Mar-20,31.7
12-Mar-20,37
13-Mar-20,20
14-Mar-20,24.8
15-Mar-20,25.1
16-Mar-20,33.6
17-Mar-20,24.9
18-Mar-20,37.1
19-Mar-20,48
20-Mar-20,36.3
21-Mar-20,17.7
22-Mar-20,28.1
23-Mar-20,32.9
24-Mar-20,33.2
25-Mar-20,39.8
26-Mar-20,42.2
27-Mar-20,43.1
28-Mar-20,50.2
29-Mar-20,39.5
30-Mar-20,33.3
31-Mar-20,34.3
1-Apr-20,36.3
2-Apr-20,33.1
3-Apr-20,39.5
4-Apr-20,39
5-Apr-20,28.4
6-Apr-20,42.1
7-Apr-20,58.3
8-Apr-20,50.1
9-Apr-20,24.9
10-Apr-20,23.9
11-Apr-20,32
12-Apr-20,49.2
13-Apr-20,27
14-Apr-20,17.7
15-Apr-20,20.9
16-Apr-20,14.9
17-Apr-20,31.7
18-Apr-20,31.4
19-Apr-20,32.5
20-Apr-20,33.2
21-Apr-20,18.5
22-Apr-20,31
23-Apr-20,43.5
24-Apr-20,40.1
25-Apr-20,40.7
26-Apr-20,31.6
27-Apr-20,41.1
28-Apr-20,57.1
29-Apr-20,52
30-Apr-20,39.4
1-May-20,36.1
2-May-20,47
3-May-20,36
4-May-20,34.1
5-May-20,36.5
6-May-20,26.3
7-May-20,33.3
8-May-20,25.3
9-May-20,22.3
10-May-20,38.5
11-May-20,33.2
12-May-20,28.9
13-May-20,31.6
14-May-20,59.5
15-May-20,59.7
16-May-20,48.5
17-May-20,60.6
18-May-20,55.7
19-May-20,54.1
20-May-20,49.8
21-May-20,51.2
22-May-20,56.2
23-May-20,61.3
24-May-20,64
25-May-20,64.3
26-May-20,64.9
27-May-20,65.8
28-May-20,65.3
29-May-20,54.3
30-May-20,47
31-May-20,40.3
1-Jun-20,44.2
2-Jun-20,60.4
3-Jun-20,60.5
4-Jun-20,64.4
5-Jun-20,64.8
6-Jun-20,52.5
7-Jun-20,52.8
8-Jun-20,50.9
9-Jun-20,67.3
10-Jun-20,65.4
11-Jun-20,49
12-Jun-20,49.3
13-Jun-20,45.8
14-Jun-20,43.2
15-Jun-20,43.4
16-Jun-20,54.1
17-Jun-20,53.2
18-Jun-20,52.4
19-Jun-20,57
20-Jun-20,62.2
21-Jun-20,64.8
22-Jun-20,66.3
23-Jun-20,54.2
24-Jun-20,53.8
25-Jun-20,54.8
26-Jun-20,66.3
27-Jun-20,68.8
28-Jun-20,68.4
29-Jun-20,69.4
30-Jun-20,69.7
1-Jul-20,64
2-Jul-20,61.8
3-Jul-20,60.3
4-Jul-20,66.3
5-Jul-20,62.9
6-Jul-20,62.4
7-Jul-20,66.1
8-Jul-20,67.2
9-Jul-20,68.4
10-Jul-20,66.8
11-Jul-20,62.5
12-Jul-20,62.4
13-Jul-20,59
14-Jul-20,58.9
15-Jul-20,66.2
16-Jul-20,65.3
17-Jul-20,65.7
18-Jul-20,73.5
19-Jul-20,69.9
20-Jul-20,61.2
21-Jul-20,65.3
22-Jul-20,67.8
23-Jul-20,60.6
24-Jul-20,65.2
25-Jul-20,65.5
26-Jul-20,71.1
27-Jul-20,68.8
28-Jul-20,60
29-Jul-20,64.3
30-Jul-20,61.3
31-Jul-20,59.8
1-Aug-20,62.2
2-Aug-20,63.7
3-Aug-20,59.9
4-Aug-20,49
5-Aug-20,50.7
6-Aug-20,53.9
7-Aug-20,56.4
8-Aug-20,61.5
9-Aug-20,68.3
10-Aug-20,70.4
11-Aug-20,57.9
12-Aug-20,58.6
13-Aug-20,60.8
14-Aug-20,60.3
15-Aug-20,65
16-Aug-20,54.6
17-Aug-20,54.5
18-Aug-20,53
19-Aug-20,52.4
20-Aug-20,52.7
21-Aug-20,56.6
22-Aug-20,59
23-Aug-20,62.5
24-Aug-20,66.6
25-Aug-20,64.7
26-Aug-20,67
27-Aug-20,70
28-Aug-20,70
29-Aug-20,54.9
30-Aug-20,55.4
31-Aug-20,57.7
,
,
,
,
,
,
