Date,Max,Avg,Min
1-Jan-20,31,24.5,19
2-Jan-20,39,33.3,27
3-Jan-20,37,30.3,25
4-Jan-20,28,25,19
5-Jan-20,31,25.3,21
6-Jan-20,22,20,18
7-Jan-20,28,22.2,18
8-Jan-20,15,6.8,0
9-Jan-20,45,30.4,13
10-Jan-20,48,41.9,37
11-Jan-20,37,30.5,23
12-Jan-20,30,24.4,20
13-Jan-20,31,27.9,24
14-Jan-20,35,31.7,26
15-Jan-20,36,31.4,25
16-Jan-20,24,10,4
17-Jan-20,26,17.9,6
18-Jan-20,36,24,-2
19-Jan-20,11,2.5,-5
20-Jan-20,19,15.5,11
21-Jan-20,19,16.3,12
22-Jan-20,22,19.6,18
23-Jan-20,32,29.3,21
24-Jan-20,39,35.6,33
25-Jan-20,33,32.4,31
26-Jan-20,31,27.6,25
27-Jan-20,29,27.6,25
28-Jan-20,28,25,23
29-Jan-20,26,25.3,23
30-Jan-20,25,23.5,21
31-Jan-20,30,28.7,25
1-Feb-20,34,30.9,28
2-Feb-20,34,31.8,29
3-Feb-20,35,31.8,28
4-Feb-20,32,25.6,19
5-Feb-20,25,21,14
6-Feb-20,26,23.9,20
7-Feb-20,23,16.8,11
8-Feb-20,26,21.7,18
9-Feb-20,34,27.8,18
10-Feb-20,29,24.6,21
11-Feb-20,25,20.9,17
12-Feb-20,31,26.4,17
13-Feb-20,31,13.7,-5
14-Feb-20,-2,-5.5,-11
15-Feb-20,22,14.7,-1
16-Feb-20,27,21.8,17
17-Feb-20,37,29.9,24
18-Feb-20,37,26.6,15
19-Feb-20,14,4.8,0
20-Feb-20,1,-2.6,-5
21-Feb-20,18,8.7,-1
22-Feb-20,27,20.9,16
23-Feb-20,33,28,23
24-Feb-20,33,30.2,25
25-Feb-20,34,31,28
26-Feb-20,30,23,11
27-Feb-20,19,13.4,9
28-Feb-20,11,6.8,3
29-Feb-20,21,9.2,2
1-Mar-20,45,32.9,20
2-Mar-20,43,30.6,27
3-Mar-20,34,28.4,25
4-Mar-20,35,26.5,19
5-Mar-20,33,26.8,22
6-Mar-20,31,23.1,21
7-Mar-20,24,21.9,19
8-Mar-20,31,25.3,22
9-Mar-20,54,46.4,32
10-Mar-20,50,34.7,27
11-Mar-20,32,31.7,29
12-Mar-20,50,37,31
13-Mar-20,31,20,1
14-Mar-20,29,24.8,16
15-Mar-20,29,25.1,20
16-Mar-20,37,33.6,26
17-Mar-20,36,24.9,13
18-Mar-20,43,37.1,19
19-Mar-20,63,48,40
20-Mar-20,60,36.3,20
21-Mar-20,22,17.7,15
22-Mar-20,33,28.1,19
23-Mar-20,34,32.9,31
24-Mar-20,35,33.2,31
25-Mar-20,47,39.8,32
26-Mar-20,47,42.2,38
27-Mar-20,48,43.1,37
28-Mar-20,64,50.2,45
29-Mar-20,50,39.5,36
30-Mar-20,36,33.3,31
31-Mar-20,36,34.3,31
1-Apr-20,39,36.3,34
2-Apr-20,38,33.1,29
3-Apr-20,49,39.5,31
4-Apr-20,50,39,34
5-Apr-20,35,28.4,16
6-Apr-20,57,42.1,33
7-Apr-20,64,58.3,51
8-Apr-20,53,50.1,44
9-Apr-20,40,24.9,17
10-Apr-20,29,23.9,21
11-Apr-20,47,32,24
12-Apr-20,56,49.2,42
13-Apr-20,55,27,11
14-Apr-20,23,17.7,12
15-Apr-20,26,20.9,14
16-Apr-20,18,14.9,12
17-Apr-20,34,31.7,18
18-Apr-20,33,31.4,29
19-Apr-20,36,32.5,27
20-Apr-20,44,33.2,24
21-Apr-20,38,18.5,11
22-Apr-20,48,31,15
23-Apr-20,50,43.5,40
24-Apr-20,42,40.1,37
25-Apr-20,44,40.7,36
26-Apr-20,38,31.6,23
27-Apr-20,56,41.1,27
28-Apr-20,63,57.1,54
29-Apr-20,60,52,40
30-Apr-20,42,39.4,35
1-May-20,42,36.1,31
2-May-20,54,47,40
3-May-20,46,36,31
4-May-20,36,34.1,31
5-May-20,45,36.5,26
6-May-20,39,26.3,22
7-May-20,41,33.3,25
8-May-20,32,25.3,21
9-May-20,27,22.3,18
10-May-20,46,38.5,27
11-May-20,38,33.2,28
12-May-20,33,28.9,24
13-May-20,45,31.6,23
14-May-20,67,59.5,49
15-May-20,63,59.7,50
16-May-20,53,48.5,44
17-May-20,67,60.6,53
18-May-20,60,55.7,52
19-May-20,58,54.1,52
20-May-20,52,49.8,47
21-May-20,54,51.2,48
22-May-20,58,56.2,54
23-May-20,71,61.3,54
24-May-20,67,64,62
25-May-20,67,64.3,61
26-May-20,67,64.9,62
27-May-20,70,65.8,62
28-May-20,69,65.3,60
29-May-20,64,54.3,45
30-May-20,50,47,40
31-May-20,46,40.3,36
1-Jun-20,52,44.2,36
2-Jun-20,65,60.4,52
3-Jun-20,66,60.5,51
4-Jun-20,68,64.4,61
5-Jun-20,69,64.8,61
6-Jun-20,66,52.5,47
7-Jun-20,57,52.8,49
8-Jun-20,58,50.9,46
9-Jun-20,77,67.3,49
10-Jun-20,76,65.4,52
11-Jun-20,56,49,43
12-Jun-20,55,49.3,41
13-Jun-20,51,45.8,43
14-Jun-20,48,43.2,34
15-Jun-20,53,43.4,37
16-Jun-20,57,54.1,46
17-Jun-20,57,53.2,49
