Date,Avg_DP
15-Jan-20,24.5
16-Jan-20,33.3
17-Jan-20,30.3
18-Jan-20,25
19-Jan-20,25.3
20-Jan-20,20
21-Jan-20,22.2
22-Jan-20,6.8
23-Jan-20,30.4
24-Jan-20,41.9
25-Jan-20,30.5
26-Jan-20,24.4
27-Jan-20,27.9
28-Jan-20,31.7
29-Jan-20,31.4
30-Jan-20,10
31-Jan-20,17.9
1-Feb-20,24
2-Feb-20,2.5
3-Feb-20,15.5
4-Feb-20,16.3
5-Feb-20,19.6
6-Feb-20,29.3
7-Feb-20,35.6
8-Feb-20,32.4
9-Feb-20,27.6
10-Feb-20,27.6
11-Feb-20,25
12-Feb-20,25.3
13-Feb-20,23.5
14-Feb-20,28.7
15-Feb-20,30.9
16-Feb-20,31.8
17-Feb-20,31.8
18-Feb-20,25.6
19-Feb-20,21
20-Feb-20,23.9
21-Feb-20,16.8
22-Feb-20,21.7
23-Feb-20,27.8
24-Feb-20,24.6
25-Feb-20,20.9
26-Feb-20,26.4
27-Feb-20,13.7
28-Feb-20,-5.5
29-Feb-20,14.7
1-Mar-20,21.8
2-Mar-20,29.9
3-Mar-20,26.6
4-Mar-20,4.8
5-Mar-20,-2.6
6-Mar-20,8.7
7-Mar-20,20.9
8-Mar-20,28
9-Mar-20,30.2
10-Mar-20,31
11-Mar-20,23
12-Mar-20,13.4
13-Mar-20,6.8
14-Mar-20,9.2
15-Mar-20,32.9
16-Mar-20,30.6
17-Mar-20,28.4
18-Mar-20,26.5
19-Mar-20,26.8
20-Mar-20,23.1
21-Mar-20,21.9
22-Mar-20,25.3
23-Mar-20,46.4
24-Mar-20,34.7
25-Mar-20,31.7
26-Mar-20,37
27-Mar-20,20
28-Mar-20,24.8
29-Mar-20,25.1
30-Mar-20,33.6
31-Mar-20,24.9
1-Apr-20,37.1
2-Apr-20,48
3-Apr-20,36.3
4-Apr-20,17.7
5-Apr-20,28.1
6-Apr-20,32.9
7-Apr-20,33.2
8-Apr-20,39.8
9-Apr-20,42.2
10-Apr-20,43.1
11-Apr-20,50.2
12-Apr-20,39.5
13-Apr-20,33.3
14-Apr-20,34.3
15-Apr-20,36.3
16-Apr-20,33.1
17-Apr-20,39.5
18-Apr-20,39
19-Apr-20,28.4
20-Apr-20,42.1
21-Apr-20,58.3
22-Apr-20,50.1
23-Apr-20,24.9
24-Apr-20,23.9
25-Apr-20,32
26-Apr-20,49.2
27-Apr-20,27
28-Apr-20,17.7
29-Apr-20,20.9
30-Apr-20,14.9
1-May-20,31.7
2-May-20,31.4
3-May-20,32.5
4-May-20,33.2
5-May-20,18.5
6-May-20,31
7-May-20,43.5
8-May-20,40.1
9-May-20,40.7
10-May-20,31.6
11-May-20,41.1
12-May-20,57.1
13-May-20,52
14-May-20,39.4
15-May-20,36.1
16-May-20,47
17-May-20,36
18-May-20,34.1
19-May-20,36.5
20-May-20,26.3
21-May-20,33.3
22-May-20,25.3
23-May-20,22.3
24-May-20,38.5
25-May-20,33.2
26-May-20,28.9
27-May-20,31.6
28-May-20,59.5
29-May-20,59.7
30-May-20,48.5
31-May-20,60.6
1-Jun-20,55.7
2-Jun-20,54.1
3-Jun-20,49.8
4-Jun-20,51.2
5-Jun-20,56.2
6-Jun-20,61.3
7-Jun-20,64
8-Jun-20,64.3
9-Jun-20,64.9
10-Jun-20,65.8
11-Jun-20,65.3
12-Jun-20,54.3
13-Jun-20,47
14-Jun-20,40.3
15-Jun-20,44.2
16-Jun-20,60.4
17-Jun-20,60.5
18-Jun-20,64.4
19-Jun-20,64.8
20-Jun-20,52.5
21-Jun-20,52.8
22-Jun-20,50.9
23-Jun-20,67.3
24-Jun-20,65.4
25-Jun-20,49
26-Jun-20,49.3
27-Jun-20,45.8
28-Jun-20,43.2
29-Jun-20,43.4
30-Jun-20,54.1
1-Jul-20,53.2
2-Jul-20,52.4
3-Jul-20,57
4-Jul-20,62.2
5-Jul-20,64.8
6-Jul-20,66.3
7-Jul-20,54.2
8-Jul-20,53.8
9-Jul-20,54.8
10-Jul-20,66.3
11-Jul-20,68.8
12-Jul-20,68.4
13-Jul-20,69.4
14-Jul-20,69.7
15-Jul-20,64
16-Jul-20,61.8
17-Jul-20,60.3
18-Jul-20,66.3
19-Jul-20,62.9
20-Jul-20,62.4
21-Jul-20,66.1
22-Jul-20,67.2
23-Jul-20,68.4
24-Jul-20,66.8
25-Jul-20,62.5
26-Jul-20,62.4
27-Jul-20,59
28-Jul-20,58.9
29-Jul-20,66.2
30-Jul-20,65.3
31-Jul-20,65.7
1-Aug-20,73.5
2-Aug-20,69.9
3-Aug-20,61.2
4-Aug-20,65.3
5-Aug-20,67.8
6-Aug-20,60.6
7-Aug-20,65.2
8-Aug-20,65.5
9-Aug-20,71.1
10-Aug-20,68.8
11-Aug-20,60
12-Aug-20,64.3
13-Aug-20,61.3
14-Aug-20,59.8
15-Aug-20,62.2
16-Aug-20,63.7
17-Aug-20,59.9
18-Aug-20,49
19-Aug-20,50.7
20-Aug-20,53.9
21-Aug-20,56.4
22-Aug-20,61.5
23-Aug-20,68.3
24-Aug-20,70.4
25-Aug-20,57.9
26-Aug-20,58.6
27-Aug-20,60.8
28-Aug-20,60.3
29-Aug-20,65
30-Aug-20,54.6
31-Aug-20,54.5
