Date,Cases-Total,Avg_DP
3/1/2020,0,32.9
3/2/2020,0,30.6
3/3/2020,0,28.4
3/4/2020,0,26.5
3/5/2020,1,26.8
3/6/2020,3,23.1
3/7/2020,3,21.9
3/8/2020,3,25.3
3/9/2020,5,46.4
3/10/2020,11,34.7
3/11/2020,12,31.7
3/12/2020,21,37
3/13/2020,33,20
3/14/2020,31,24.8
3/15/2020,40,25.1
3/16/2020,78,33.6
3/17/2020,96,24.9
3/18/2020,162,37.1
3/19/2020,186,48
3/20/2020,156,36.3
3/21/2020,125,17.7
3/22/2020,169,28.1
3/23/2020,292,32.9
3/24/2020,352,33.2
3/25/2020,368,39.8
3/26/2020,415,42.2
3/27/2020,406,43.1
3/28/2020,253,50.2
3/29/2020,283,39.5
3/30/2020,443,33.3
3/31/2020,490,34.3
4/1/2020,460,36.3
4/2/2020,442,33.1
4/3/2020,468,39.5
4/4/2020,326,39
4/5/2020,292,28.4
4/6/2020,586,42.1
4/7/2020,561,58.3
4/8/2020,702,50.1
4/9/2020,580,24.9
4/10/2020,572,23.9
4/11/2020,398,32
4/12/2020,341,49.2
4/13/2020,693,27
4/14/2020,663,17.7
4/15/2020,633,20.9
4/16/2020,681,14.9
4/17/2020,780,31.7
4/18/2020,538,31.4
4/19/2020,464,32.5
4/20/2020,993,33.2
4/21/2020,874,18.5
4/22/2020,1060,31
4/23/2020,1471,43.5
4/24/2020,1080,40.1
4/25/2020,637,40.7
4/26/2020,434,31.6
4/27/2020,1158,41.1
4/28/2020,1323,57.1
4/29/2020,1156,52
4/30/2020,1283,39.4
5/1/2020,1173,36.1
5/2/2020,718,47
5/3/2020,466,36
5/4/2020,1133,34.1
5/5/2020,1092,36.5
5/6/2020,976,26.3
5/7/2020,939,33.3
5/8/2020,926,25.3
5/9/2020,522,22.3
5/10/2020,307,38.5
5/11/2020,1016,33.2
5/12/2020,943,28.9
5/13/2020,878,31.6
5/14/2020,780,59.5
5/15/2020,991,59.7
5/16/2020,516,48.5
5/17/2020,326,60.6
5/18/2020,948,55.7
5/19/2020,897,54.1
5/20/2020,777,49.8
5/21/2020,806,51.2
5/22/2020,726,56.2
5/23/2020,328,61.3
5/24/2020,280,64
5/25/2020,252,64.3
5/26/2020,754,64.9
5/27/2020,614,65.8
5/28/2020,521,65.3
5/29/2020,463,54.3
5/30/2020,243,47
5/31/2020,120,40.3
6/1/2020,238,44.2
6/2/2020,246,60.4
6/3/2020,284,60.5
6/4/2020,322,64.4
6/5/2020,339,64.8
6/6/2020,171,52.5
6/7/2020,110,52.8
6/8/2020,272,50.9
6/9/2020,257,67.3
6/10/2020,235,65.4
6/11/2020,204,49
6/12/2020,247,49.3
6/13/2020,121,45.8
6/14/2020,92,43.2
6/15/2020,234,43.4
6/16/2020,213,54.1
6/17/2020,221,53.2
6/18/2020,184,52.4
6/19/2020,219,57
6/20/2020,124,62.2
6/21/2020,47,64.8
6/22/2020,220,66.3
6/23/2020,233,54.2
6/24/2020,244,53.8
6/25/2020,247,54.8
6/26/2020,218,66.3
6/27/2020,130,68.8
6/28/2020,112,68.4
6/29/2020,280,69.4
6/30/2020,266,69.7
7/1/2020,262,64
7/2/2020,254,61.8
7/3/2020,175,60.3
7/4/2020,62,66.3
7/5/2020,88,62.9
7/6/2020,284,62.4
7/7/2020,348,66.1
7/8/2020,310,67.2
7/9/2020,288,68.4
7/10/2020,343,66.8
7/11/2020,156,62.5
7/12/2020,97,62.4
7/13/2020,338,59
7/14/2020,322,58.9
7/15/2020,269,66.2
7/16/2020,297,65.3
7/17/2020,325,65.7
7/18/2020,134,73.5
7/19/2020,101,69.9
7/20/2020,390,61.2
7/21/2020,288,65.3
7/22/2020,369,67.8
7/23/2020,318,60.6
7/24/2020,344,65.2
7/25/2020,157,65.5
7/26/2020,97,71.1
7/27/2020,365,68.8
7/28/2020,335,60
7/29/2020,444,64.3
7/30/2020,341,61.3
7/31/2020,393,59.8
8/1/2020,141,62.2
8/2/2020,93,63.7
8/3/2020,422,59.9
8/4/2020,368,49
8/5/2020,377,50.7
8/6/2020,349,53.9
8/7/2020,416,56.4
8/8/2020,176,61.5
8/9/2020,116,68.3
8/10/2020,379,70.4
8/11/2020,385,57.9
8/12/2020,433,58.6
8/13/2020,392,60.8
8/14/2020,348,60.3
8/15/2020,223,65
8/16/2020,123,54.6
8/17/2020,499,54.5
8/18/2020,394,53
8/19/2020,470,52.4
8/20/2020,396,52.7
8/21/2020,413,56.6
8/22/2020,183,59
8/23/2020,111,62.5
8/24/2020,519,66.6
8/25/2020,395,64.7
8/26/2020,382,67
8/27/2020,353,70
8/28/2020,377,70
8/29/2020,222,54.9
8/30/2020,90,55.4
8/31/2020,342,57.7
