date,total_cases,New_Cases,Date,Avg_DP
1/30/2020,0,0,1/16/2020,44.2
1/31/2020,0,0,1/17/2020,41
2/5/2020,0,0,1/22/2020,42.1
2/6/2020,0,0,1/23/2020,42.9
2/7/2020,0,0,1/24/2020,41.6
2/9/2020,0,0,1/26/2020,44.5
2/10/2020,0,0,1/27/2020,42.4
2/13/2020,1,0,1/30/2020,47.5
2/14/2020,1,0,1/31/2020,47.9
2/15/2020,1,0,2/1/2020,41.2
2/16/2020,1,0,2/2/2020,45.2
2/17/2020,1,0,2/3/2020,41
2/22/2020,1,0,2/8/2020,41.9
2/23/2020,1,0,2/9/2020,45.5
2/28/2020,12,3,2/14/2020,41.3
2/29/2020,13,1,2/15/2020,49.9
3/1/2020,17,4,2/16/2020,45.3
3/7/2020,104,14,2/22/2020,42.5
3/8/2020,126,22,2/23/2020,42.9
3/9/2020,179,53,2/24/2020,43.7
3/22/2020,3515,437,3/8/2020,42.4
3/24/2020,4841,637,3/10/2020,50.9
3/25/2020,5600,759,3/11/2020,45.4
3/28/2020,7765,577,3/14/2020,43.8
3/29/2020,8360,595,3/15/2020,44.1
3/31/2020,10166,936,3/17/2020,42.5
4/1/2020,11145,979,3/18/2020,46.8
4/2/2020,12217,1072,3/19/2020,43.3
4/20/2020,23973,434,4/6/2020,42
4/22/2020,24835,396,4/8/2020,45.1
4/23/2020,25358,523,4/9/2020,44.9
4/24/2020,25736,378,4/10/2020,45.8
4/25/2020,26069,333,4/11/2020,46.1
4/26/2020,26379,310,4/12/2020,44.1
4/30/2020,27963,425,4/16/2020,42
5/1/2020,28319,356,4/17/2020,42.6
5/2/2020,28568,249,4/18/2020,44
5/7/2020,29741,271,4/23/2020,41.7
5/8/2020,29948,207,4/24/2020,41.4
5/9/2020,30075,127,4/25/2020,41.7
5/11/2020,30358,159,4/27/2020,42.3
5/12/2020,30553,195,4/28/2020,45.2
5/13/2020,30757,204,4/29/2020,44.8
5/14/2020,30914,157,4/30/2020,43.4
5/15/2020,31045,131,5/1/2020,42.5
5/17/2020,31198,79,5/3/2020,42.7
5/18/2020,31310,112,5/4/2020,44.2
5/21/2020,31744,158,5/7/2020,44.2
5/22/2020,31829,85,5/8/2020,44.5
5/23/2020,31894,65,5/9/2020,45.2
5/24/2020,31945,51,5/10/2020,43.5
6/1/2020,32410,49,5/18/2020,41.1
6/2/2020,32459,49,5/19/2020,49.7
6/3/2020,32538,79,5/20/2020,50.6
6/4/2020,32595,57,5/21/2020,50.4
