Date,Avg_DP
15-Jan-20,38.9
16-Jan-20,44.6
17-Jan-20,41.2
18-Jan-20,38
19-Jan-20,40.8
20-Jan-20,40.3
21-Jan-20,46.6
22-Jan-20,48.5
23-Jan-20,47.9
24-Jan-20,37.3
25-Jan-20,43.4
26-Jan-20,43
27-Jan-20,43.5
28-Jan-20,47.7
29-Jan-20,43
30-Jan-20,44.2
31-Jan-20,41
1-Feb-20,34.6
2-Feb-20,33.7
3-Feb-20,33.9
4-Feb-20,35
5-Feb-20,42.1
6-Feb-20,42.9
7-Feb-20,41.6
8-Feb-20,39.3
9-Feb-20,44.5
10-Feb-20,42.4
11-Feb-20,34.4
12-Feb-20,36.3
13-Feb-20,47.5
14-Feb-20,47.9
15-Feb-20,41.2
16-Feb-20,45.2
17-Feb-20,41
18-Feb-20,36.1
19-Feb-20,35.7
20-Feb-20,37.1
21-Feb-20,38.7
22-Feb-20,41.9
23-Feb-20,45.5
24-Feb-20,35.6
25-Feb-20,29
26-Feb-20,33.2
27-Feb-20,40.3
28-Feb-20,41.3
29-Feb-20,49.9
1-Mar-20,45.3
2-Mar-20,36.9
3-Mar-20,37.7
4-Mar-20,38.8
5-Mar-20,40.6
6-Mar-20,37.8
7-Mar-20,42.5
8-Mar-20,42.9
9-Mar-20,43.7
10-Mar-20,35.8
11-Mar-20,31.4
12-Mar-20,32
13-Mar-20,40
14-Mar-20,38.4
15-Mar-20,33.2
16-Mar-20,35.1
17-Mar-20,35
18-Mar-20,37.6
19-Mar-20,40.1
20-Mar-20,33.2
21-Mar-20,40.8
22-Mar-20,42.4
23-Mar-20,39.4
24-Mar-20,50.9
25-Mar-20,45.4
26-Mar-20,33.9
27-Mar-20,36.3
28-Mar-20,43.8
29-Mar-20,44.1
30-Mar-20,36.3
31-Mar-20,42.5
1-Apr-20,46.8
2-Apr-20,43.3
3-Apr-20,36.3
4-Apr-20,32.9
5-Apr-20,33.8
6-Apr-20,31.1
7-Apr-20,29
8-Apr-20,28.7
9-Apr-20,29.6
10-Apr-20,31.7
11-Apr-20,33.7
12-Apr-20,26
13-Apr-20,33
14-Apr-20,33.3
15-Apr-20,30.4
16-Apr-20,37.3
17-Apr-20,35.5
18-Apr-20,37.3
19-Apr-20,36.4
20-Apr-20,42
21-Apr-20,40.5
22-Apr-20,45.1
23-Apr-20,44.9
24-Apr-20,45.8
25-Apr-20,46.1
26-Apr-20,44.1
27-Apr-20,33.6
28-Apr-20,30.7
29-Apr-20,36.6
30-Apr-20,42
1-May-20,42.6
2-May-20,44
3-May-20,39.3
4-May-20,37.1
5-May-20,37.8
6-May-20,38.9
7-May-20,41.7
8-May-20,41.4
9-May-20,41.7
10-May-20,40.8
11-May-20,42.3
12-May-20,45.2
13-May-20,44.8
14-May-20,43.4
15-May-20,42.5
16-May-20,39.1
17-May-20,42.7
18-May-20,44.2
19-May-20,39.2
20-May-20,39.3
21-May-20,44.2
22-May-20,44.5
23-May-20,45.2
24-May-20,43.5
25-May-20,29.7
26-May-20,31.6
27-May-20,32.6
28-May-20,33.4
29-May-20,36.2
30-May-20,37.6
31-May-20,40.7
1-Jun-20,41.1
2-Jun-20,49.7
3-Jun-20,50.6
4-Jun-20,50.4
5-Jun-20,44.9
6-Jun-20,41.4
7-Jun-20,45.8
8-Jun-20,46.7
9-Jun-20,46.3
10-Jun-20,49.7
11-Jun-20,44
12-Jun-20,43.9
13-Jun-20,44.7
14-Jun-20,44.4
15-Jun-20,47.1
16-Jun-20,45.2
17-Jun-20,50.5
18-Jun-20,43.9
19-Jun-20,41
20-Jun-20,41.6
21-Jun-20,47.2
22-Jun-20,44
23-Jun-20,41.9
24-Jun-20,49.7
25-Jun-20,52.5
26-Jun-20,55.7
27-Jun-20,52.6
28-Jun-20,52.9
29-Jun-20,52.1
30-Jun-20,53.5
1-Jul-20,54.3
2-Jul-20,55.4
3-Jul-20,52.3
4-Jul-20,51.5
5-Jul-20,51.2
6-Jul-20,48.1
7-Jul-20,52.7
8-Jul-20,55.9
9-Jul-20,56.8
10-Jul-20,59
11-Jul-20,55
12-Jul-20,48.4
13-Jul-20,45
14-Jul-20,53.2
15-Jul-20,54.4
16-Jul-20,53.8
17-Jul-20,51.8
18-Jul-20,58.4
19-Jul-20,49.6
20-Jul-20,45
21-Jul-20,46.9
22-Jul-20,59.5
23-Jul-20,59.4
24-Jul-20,48.7
25-Jul-20,45
26-Jul-20,45.8
27-Jul-20,46.8
28-Jul-20,53.4
29-Jul-20,50.6
30-Jul-20,55
31-Jul-20,55.3
1-Aug-20,53.5
2-Aug-20,53.3
3-Aug-20,45.5
4-Aug-20,43.8
5-Aug-20,46.8
6-Aug-20,49.1
7-Aug-20,56.1
8-Aug-20,59.7
9-Aug-20,54.4
10-Aug-20,58.1
11-Aug-20,47.4
12-Aug-20,46.4
13-Aug-20,47.3
14-Aug-20,56.6
15-Aug-20,55.6
16-Aug-20,49.6
17-Aug-20,47.9
18-Aug-20,49.4
19-Aug-20,51.3
20-Aug-20,61.3
21-Aug-20,55.7
22-Aug-20,60.1
23-Aug-20,61.7
24-Aug-20,63.3
25-Aug-20,63.9
26-Aug-20,64.7
27-Aug-20,63.8
28-Aug-20,62.6
29-Aug-20,64.5
30-Aug-20,63.9
31-Aug-20,59.1
