date,total_cases,New_Cases,Day,Avg_DP,day,month
1/30/2020,0,0,1/30/2020,47.5,30,1
1/31/2020,0,0,1/31/2020,47.9,31,1
2/1/2020,0,0,2/1/2020,41.2,1,2
2/2/2020,0,0,2/2/2020,45.2,2,2
2/3/2020,0,0,2/3/2020,41,3,2
2/4/2020,0,0,2/4/2020,36.1,4,2
2/5/2020,0,0,2/5/2020,35.7,5,2
2/6/2020,0,0,2/6/2020,37.1,6,2
2/7/2020,0,0,2/7/2020,38.7,7,2
2/8/2020,0,0,2/8/2020,41.9,8,2
2/9/2020,0,0,2/9/2020,45.5,9,2
2/10/2020,0,0,2/10/2020,35.6,10,2
2/11/2020,1,1,2/11/2020,29,11,2
2/12/2020,1,0,2/12/2020,33.2,12,2
2/13/2020,1,0,2/13/2020,40.3,13,2
2/14/2020,1,0,2/14/2020,41.3,14,2
2/15/2020,1,0,2/15/2020,49.9,15,2
2/16/2020,1,0,2/16/2020,45.3,16,2
2/17/2020,1,0,2/17/2020,36.9,17,2
2/18/2020,1,0,2/18/2020,37.7,18,2
2/19/2020,1,0,2/19/2020,38.8,19,2
2/20/2020,1,0,2/20/2020,40.6,20,2
2/21/2020,1,0,2/21/2020,37.8,21,2
2/22/2020,1,0,2/22/2020,42.5,22,2
2/23/2020,1,0,2/23/2020,42.9,23,2
2/24/2020,2,1,2/24/2020,43.7,24,2
2/25/2020,5,3,2/25/2020,35.8,25,2
2/26/2020,7,2,2/26/2020,31.4,26,2
2/27/2020,9,2,2/27/2020,32,27,2
2/28/2020,12,3,2/28/2020,40,28,2
2/29/2020,13,1,2/29/2020,38.4,29,2
3/1/2020,17,4,3/1/2020,33.2,1,3
3/2/2020,29,12,3/2/2020,35.1,2,3
3/3/2020,35,6,3/3/2020,35,3,3
3/4/2020,53,18,3/4/2020,37.6,4,3
3/5/2020,67,14,3/5/2020,40.1,5,3
3/6/2020,90,23,3/6/2020,33.2,6,3
3/7/2020,104,14,3/7/2020,40.8,7,3
3/8/2020,126,22,3/8/2020,42.4,8,3
3/9/2020,179,53,3/9/2020,39.4,9,3
