Day,Max,Avg,Min,day,month
1-Jan-20,43,38.9,36,1,1
2-Jan-20,48,44.6,43,2,1
3-Jan-20,50,41.2,34,3,1
4-Jan-20,41,38,36,4,1
5-Jan-20,43,40.8,39,5,1
6-Jan-20,46,40.3,36,6,1
7-Jan-20,52,46.6,41,7,1
8-Jan-20,52,48.5,46,8,1
9-Jan-20,52,47.9,41,9,1
10-Jan-20,41,37.3,36,10,1
11-Jan-20,45,43.4,37,11,1
12-Jan-20,48,43,37,12,1
13-Jan-20,48,43.5,41,13,1
14-Jan-20,54,47.7,43,14,1
15-Jan-20,50,43,39,15,1
16-Jan-20,50,44.2,41,16,1
17-Jan-20,50,41,34,17,1
18-Jan-20,36,34.6,34,18,1
19-Jan-20,36,33.7,30,19,1
20-Jan-20,34,33.9,32,20,1
21-Jan-20,37,35,32,21,1
22-Jan-20,45,42.1,37,22,1
23-Jan-20,45,42.9,41,23,1
24-Jan-20,43,41.6,41,24,1
25-Jan-20,43,39.3,36,25,1
26-Jan-20,46,44.5,43,26,1
27-Jan-20,45,42.4,39,27,1
28-Jan-20,39,34.4,32,28,1
29-Jan-20,43,36.3,32,29,1
30-Jan-20,52,47.5,43,30,1
31-Jan-20,50,47.9,45,31,1
1-Feb-20,48,41.2,34,1,2
2-Feb-20,52,45.2,39,2,2
3-Feb-20,45,41,34,3,2
4-Feb-20,41,36.1,32,4,2
5-Feb-20,37,35.7,34,5,2
6-Feb-20,39,37.1,34,6,2
7-Feb-20,46,38.7,34,7,2
8-Feb-20,48,41.9,36,8,2
9-Feb-20,52,45.5,39,9,2
10-Feb-20,41,35.6,30,10,2
11-Feb-20,32,29,25,11,2
12-Feb-20,41,33.2,30,12,2
13-Feb-20,43,40.3,39,13,2
14-Feb-20,48,41.3,36,14,2
15-Feb-20,52,49.9,48,15,2
16-Feb-20,54,45.3,34,16,2
17-Feb-20,41,36.9,34,17,2
18-Feb-20,43,37.7,34,18,2
19-Feb-20,45,38.8,32,19,2
20-Feb-20,46,40.6,30,20,2
21-Feb-20,41,37.8,32,21,2
22-Feb-20,48,42.5,39,22,2
23-Feb-20,52,42.9,32,23,2
24-Feb-20,50,43.7,32,24,2
25-Feb-20,39,35.8,32,25,2
26-Feb-20,34,31.4,30,26,2
27-Feb-20,36,32,28,27,2
28-Feb-20,50,40,30,28,2
29-Feb-20,48,38.4,28,29,2
1-Mar-20,37,33.2,28,1,3
2-Mar-20,41,35.1,28,2,3
3-Mar-20,37,35,32,3,3
4-Mar-20,41,37.6,32,4,3
5-Mar-20,41,40.1,37,5,3
6-Mar-20,37,33.2,28,6,3
7-Mar-20,46,40.8,34,7,3
8-Mar-20,46,42.4,39,8,3
9-Mar-20,50,39.4,36,9,3
10-Mar-20,54,50.9,48,10,3
11-Mar-20,48,45.4,43,11,3
12-Mar-20,43,33.9,28,12,3
13-Mar-20,39,36.3,34,13,3
14-Mar-20,48,43.8,39,14,3
15-Mar-20,46,44.1,41,15,3
16-Mar-20,41,36.3,32,16,3
17-Mar-20,46,42.5,36,17,3
18-Mar-20,48,46.8,46,18,3
19-Mar-20,46,43.3,39,19,3
20-Mar-20,39,36.3,32,20,3
21-Mar-20,37,32.9,21,21,3
22-Mar-20,36,33.8,32,22,3
23-Mar-20,36,31.1,27,23,3
24-Mar-20,32,29,23,24,3
25-Mar-20,36,28.7,18,25,3
26-Mar-20,34,29.6,23,26,3
27-Mar-20,36,31.7,28,27,3
28-Mar-20,37,33.7,28,28,3
29-Mar-20,34,26,19,29,3
30-Mar-20,39,33,23,30,3
31-Mar-20,36,33.3,28,31,3
1-Apr-20,34,30.4,28,1,4
2-Apr-20,41,37.3,32,2,4
