Date-1,Avg_DP,Date,Case-Total
2/16/2020,23.3,3/1/2020,0
2/17/2020,23.5,3/2/2020,0
2/18/2020,34.5,3/3/2020,2
2/19/2020,21.6,3/4/2020,5
2/24/2020,26.3,3/9/2020,58
2/27/2020,26.9,3/12/2020,357
3/2/2020,30.5,3/16/2020,2122
3/4/2020,28.5,3/18/2020,2974
3/5/2020,25.4,3/19/2020,3707
3/6/2020,34,3/20/2020,4009
3/9/2020,23.4,3/23/2020,3572
3/11/2020,27.7,3/25/2020,4863
3/12/2020,37,3/26/2020,5052
3/14/2020,21.7,3/28/2020,3477
3/16/2020,22,3/30/2020,6135
3/17/2020,38.4,3/31/2020,5472
3/18/2020,26.9,4/1/2020,5464
3/21/2020,21.3,4/4/2020,3867
3/23/2020,33.7,4/6/2020,6377
3/24/2020,32,4/7/2020,6064
3/25/2020,34,4/8/2020,5587
3/26/2020,32.5,4/9/2020,5073
3/27/2020,34.5,4/10/2020,4517
3/28/2020,38.4,4/11/2020,3732
3/31/2020,35.7,4/14/2020,4147
4/1/2020,28.3,4/15/2020,3878
4/2/2020,28,4/16/2020,3530
4/3/2020,38.2,4/17/2020,3584
4/6/2020,33,4/20/2020,3793
4/7/2020,29.9,4/21/2020,3065
4/10/2020,26.4,4/24/2020,2539
4/12/2020,34,4/26/2020,1003
4/14/2020,29.9,4/28/2020,2730
4/15/2020,21.6,4/29/2020,2342
4/17/2020,22,5/1/2020,1889
4/18/2020,36.9,5/2/2020,1060
4/19/2020,27.4,5/3/2020,785
4/20/2020,29.8,5/4/2020,1551
4/21/2020,38.2,5/5/2020,1513
4/23/2020,21.4,5/7/2020,1235
4/25/2020,37,5/9/2020,657
4/27/2020,36,5/11/2020,1233
4/28/2020,34,5/12/2020,1285
5/2/2020,36.3,5/16/2020,488
5/4/2020,38.8,5/18/2020,900
5/5/2020,23.8,5/19/2020,1004
5/6/2020,39.3,5/20/2020,1082
5/7/2020,28,5/21/2020,1072
5/8/2020,33.9,5/22/2020,1061
5/9/2020,24.1,5/23/2020,465
5/10/2020,22.7,5/24/2020,479
5/11/2020,38.4,5/25/2020,469
5/12/2020,24.3,5/26/2020,1055
5/13/2020,27.5,5/27/2020,745
5/14/2020,36.8,5/28/2020,646
5/19/2020,36.3,6/2/2020,574
5/20/2020,34.2,6/3/2020,514
5/31/2020,36.9,6/14/2020,183
6/1/2020,35.2,6/15/2020,379
