Date,Case-Total
2/29/2020,1
3/1/2020,0
3/2/2020,0
3/3/2020,2
3/4/2020,5
3/5/2020,3
3/6/2020,8
3/7/2020,7
3/8/2020,21
3/9/2020,58
3/10/2020,70
3/11/2020,155
3/12/2020,357
3/13/2020,620
3/14/2020,644
3/15/2020,1037
3/16/2020,2122
3/17/2020,2453
3/18/2020,2974
3/19/2020,3707
3/20/2020,4009
3/21/2020,2638
3/22/2020,2580
3/23/2020,3572
3/24/2020,4506
3/25/2020,4863
3/26/2020,5052
3/27/2020,5129
3/28/2020,3477
3/29/2020,3561
3/30/2020,6135
3/31/2020,5472
4/1/2020,5464
4/2/2020,5769
4/3/2020,5676
4/4/2020,3867
4/5/2020,3793
4/6/2020,6377
4/7/2020,6064
4/8/2020,5587
4/9/2020,5073
4/10/2020,4517
4/11/2020,3732
4/12/2020,2890
4/13/2020,3313
4/14/2020,4147
4/15/2020,3878
4/16/2020,3530
4/17/2020,3584
4/18/2020,2173
4/19/2020,2346
4/20/2020,3793
4/21/2020,3065
4/22/2020,3462
4/23/2020,2843
4/24/2020,2539
4/25/2020,1595
4/26/2020,1003
4/27/2020,2298
4/28/2020,2730
4/29/2020,2342
4/30/2020,2024
5/1/2020,1889
5/2/2020,1060
5/3/2020,785
5/4/2020,1551
5/5/2020,1513
5/6/2020,1402
5/7/2020,1235
5/8/2020,1081
5/9/2020,657
5/10/2020,458
5/11/2020,1233
5/12/2020,1285
5/13/2020,1336
5/14/2020,1112
5/15/2020,875
5/16/2020,488
5/17/2020,359
5/18/2020,900
5/19/2020,1004
5/20/2020,1082
5/21/2020,1072
5/22/2020,1061
5/23/2020,465
5/24/2020,479
5/25/2020,469
5/26/2020,1055
5/27/2020,745
5/28/2020,646
5/29/2020,647
5/30/2020,348
5/31/2020,231
6/1/2020,688
6/2/2020,574
6/3/2020,514
6/4/2020,510
6/5/2020,404
6/6/2020,247
6/7/2020,199
6/8/2020,444
6/9/2020,421
6/10/2020,365
6/11/2020,368
6/12/2020,410
6/13/2020,196
6/14/2020,183
6/15/2020,379
6/16/2020,423
6/17/2020,356
6/18/2020,380
6/19/2020,361
6/20/2020,206
6/21/2020,176
6/22/2020,397
6/23/2020,383
6/24/2020,382
6/25/2020,297
6/26/2020,311
6/27/2020,208
6/28/2020,202
6/29/2020,437
6/30/2020,447
7/1/2020,398
7/2/2020,417
7/3/2020,230
7/4/2020,119
7/5/2020,155
7/6/2020,435
7/7/2020,463
7/8/2020,435
7/9/2020,395
7/10/2020,309
7/11/2020,256
7/12/2020,223
7/13/2020,481
7/14/2020,400
7/15/2020,439
7/16/2020,420
7/17/2020,415
7/18/2020,217
7/19/2020,175
7/20/2020,396
7/21/2020,337
7/22/2020,326
7/23/2020,306
7/24/2020,303
7/25/2020,152
7/26/2020,139
7/27/2020,318
7/28/2020,312
7/29/2020,287
7/30/2020,267
7/31/2020,262
8/1/2020,184
8/2/2020,136
8/3/2020,353
8/4/2020,192
8/5/2020,311
8/6/2020,287
8/7/2020,264
8/8/2020,158
8/9/2020,133
8/10/2020,299
8/11/2020,258
8/12/2020,319
8/13/2020,260
8/14/2020,271
8/15/2020,150
8/16/2020,138
8/17/2020,329
8/18/2020,279
8/19/2020,279
8/20/2020,219
8/21/2020,243
8/22/2020,139
8/23/2020,148
8/24/2020,297
8/25/2020,278
8/26/2020,304
8/27/2020,254
8/28/2020,262
8/29/2020,114
8/30/2020,166
8/31/2020,266
9/1/2020,192
9/2/2020,141
9/3/2020,67
9/4/2020,14
