Day,Max,Avg,Min
1-Jan-20,26,20.2,17
2-Jan-20,33,24.9,18
3-Jan-20,44,40.9,33
4-Jan-20,47,43.6,34
5-Jan-20,32,21.8,16
6-Jan-20,29,25.2,16
7-Jan-20,32,22.7,17
8-Jan-20,28,20.4,8
9-Jan-20,18,7.8,1
10-Jan-20,43,34.6,20
11-Jan-20,52,47.8,44
12-Jan-20,59,46.6,30
13-Jan-20,41,35.7,27
14-Jan-20,41,36.5,33
15-Jan-20,41,35.2,27
16-Jan-20,43,33.3,18
17-Jan-20,18,4,-1
18-Jan-20,35,17.5,-2
19-Jan-20,34,24.9,10
20-Jan-20,12,5.3,0
21-Jan-20,10,8,4
22-Jan-20,23,15.5,9
23-Jan-20,29,19.5,14
24-Jan-20,32,28.5,22
25-Jan-20,47,38.6,31
26-Jan-20,36,28.7,24
27-Jan-20,28,27,25
28-Jan-20,26,24.8,21
29-Jan-20,20,16.2,12
30-Jan-20,23,16.2,8
31-Jan-20,34,29.9,23
1-Feb-20,37,34.9,33
2-Feb-20,34,30.9,24
3-Feb-20,36,33.1,31
4-Feb-20,48,40.5,35
5-Feb-20,41,27.1,17
6-Feb-20,38,35.4,26
7-Feb-20,52,33,16
8-Feb-20,26,16,13
9-Feb-20,32,27.9,24
10-Feb-20,43,37.6,28
11-Feb-20,45,40.5,32
12-Feb-20,32,23.9,18
13-Feb-20,39,35.1,27
14-Feb-20,27,10.3,-2
15-Feb-20,16,6,-3
16-Feb-20,28,23.3,19
17-Feb-20,28,23.5,18
18-Feb-20,41,34.5,21
19-Feb-20,42,21.6,10
20-Feb-20,15,10.1,5
21-Feb-20,9,3.1,-4
22-Feb-20,9,5.7,3
23-Feb-20,29,13.6,7
24-Feb-20,37,26.3,11
25-Feb-20,43,41.3,33
26-Feb-20,43,41.9,39
27-Feb-20,42,26.9,8
28-Feb-20,13,8.3,4
29-Feb-20,15,8.5,6
1-Mar-20,17,13.7,10
2-Mar-20,38,30.5,17
3-Mar-20,50,44.6,35
4-Mar-20,37,28.5,19
5-Mar-20,34,25.4,19
6-Mar-20,36,34,30
7-Mar-20,32,16.5,5
8-Mar-20,21,14.8,9
9-Mar-20,32,23.4,17
10-Mar-20,49,40.6,30
11-Mar-20,38,27.7,20
12-Mar-20,41,37,30
13-Mar-20,56,40.8,14
14-Mar-20,25,21.7,19
15-Mar-20,25,18.8,10
16-Mar-20,32,22,9
17-Mar-20,43,38.4,29
18-Mar-20,32,26.9,23
19-Mar-20,43,40.4,33
20-Mar-20,56,47.1,42
21-Mar-20,43,21.3,9
22-Mar-20,23,15.6,9
23-Mar-20,39,33.7,23
24-Mar-20,34,32,30
25-Mar-20,39,34,31
26-Mar-20,40,32.5,26
27-Mar-20,44,34.5,22
28-Mar-20,43,38.4,28
29-Mar-20,45,43.2,42
30-Mar-20,45,40.1,38
31-Mar-20,42,35.7,32
1-Apr-20,32,28.3,24
2-Apr-20,30,28,26
3-Apr-20,43,38.2,31
4-Apr-20,42,40.1,37
5-Apr-20,46,43.3,41
6-Apr-20,45,33,22
7-Apr-20,43,29.9,21
8-Apr-20,49,45.5,42
9-Apr-20,53,41.4,23
10-Apr-20,32,26.4,21
11-Apr-20,30,18.8,13
12-Apr-20,47,34,23
13-Apr-20,60,53.1,38
14-Apr-20,38,29.9,24
15-Apr-20,33,21.6,8
16-Apr-20,29,19.5,11
17-Apr-20,38,22,13
18-Apr-20,42,36.9,24
19-Apr-20,32,27.4,24
20-Apr-20,38,29.8,21
21-Apr-20,48,38.2,26
22-Apr-20,23,15.5,10
23-Apr-20,33,21.4,16
24-Apr-20,46,42.5,37
25-Apr-20,45,37,21
26-Apr-20,45,41.6,36
27-Apr-20,39,36,34
28-Apr-20,42,34,22
29-Apr-20,45,42.7,40
30-Apr-20,55,50.3,42
1-May-20,56,52,45
2-May-20,45,36.3,32
3-May-20,53,46.6,37
4-May-20,55,38.8,32
5-May-20,38,23.8,13
6-May-20,43,39.3,34
7-May-20,39,28,16
8-May-20,42,33.9,21
9-May-20,35,24.1,16
10-May-20,29,22.7,19
11-May-20,45,38.4,31
12-May-20,33,24.3,13
13-May-20,41,27.5,17
14-May-20,49,36.8,21
15-May-20,59,55.1,49
16-May-20,61,50.7,42
17-May-20,48,43.4,38
18-May-20,50,46.5,43
19-May-20,50,36.3,28
20-May-20,38,34.2,26
21-May-20,49,43.1,36
22-May-20,63,56.4,49
23-May-20,63,58,41
24-May-20,52,46.5,38
25-May-20,56,53.9,52
26-May-20,60,56.8,55
27-May-20,62,59,57
28-May-20,66,63.2,60
29-May-20,67,64.2,61
30-May-20,64,53.7,41
31-May-20,48,36.9,32
1-Jun-20,42,35.2,31
2-Jun-20,45,40.7,37
3-Jun-20,66,59.8,45
4-Jun-20,66,59.8,49
5-Jun-20,68,66.3,63
6-Jun-20,69,61.9,42
7-Jun-20,49,45.3,40
8-Jun-20,52,44.9,38
9-Jun-20,60,52.1,45
10-Jun-20,68,62,57
11-Jun-20,69,65.9,63
12-Jun-20,69,52.3,41
13-Jun-20,50,42.5,38
14-Jun-20,49,42.1,37
15-Jun-20,53,48.7,41
16-Jun-20,54,49.2,41
17-Jun-20,62,57.3,49
18-Jun-20,66,63,61
19-Jun-20,64,62.7,58
20-Jun-20,66,63.4,62
21-Jun-20,66,63.4,59
22-Jun-20,66,63.8,58
23-Jun-20,69,65.7,64
24-Jun-20,69,58.2,48
25-Jun-20,60,52.5,46
26-Jun-20,62,53.8,45
27-Jun-20,69,62.2,54
28-Jun-20,70,66.5,62
29-Jun-20,68,63,58
30-Jun-20,64,61.8,60
1-Jul-20,66,62.9,59
2-Jul-20,64,61.1,56
