Date,Avg_DP
3-Jan-20,20.2
4-Jan-20,24.9
5-Jan-20,40.9
6-Jan-20,43.6
7-Jan-20,21.8
8-Jan-20,25.2
9-Jan-20,22.7
10-Jan-20,20.4
11-Jan-20,7.8
12-Jan-20,34.6
13-Jan-20,47.8
14-Jan-20,46.6
15-Jan-20,35.7
16-Jan-20,36.5
17-Jan-20,35.2
18-Jan-20,33.3
19-Jan-20,4
20-Jan-20,17.5
21-Jan-20,24.9
22-Jan-20,5.3
23-Jan-20,8
24-Jan-20,15.5
25-Jan-20,19.5
26-Jan-20,28.5
27-Jan-20,38.6
28-Jan-20,28.7
29-Jan-20,27
30-Jan-20,24.8
31-Jan-20,16.2
1-Feb-20,16.2
2-Feb-20,29.9
3-Feb-20,34.9
4-Feb-20,30.9
5-Feb-20,33.1
6-Feb-20,40.5
7-Feb-20,27.1
8-Feb-20,35.4
9-Feb-20,33
10-Feb-20,16
11-Feb-20,27.9
12-Feb-20,37.6
13-Feb-20,40.5
14-Feb-20,23.9
15-Feb-20,35.1
16-Feb-20,10.3
17-Feb-20,6
18-Feb-20,23.3
19-Feb-20,23.5
20-Feb-20,34.5
21-Feb-20,21.6
22-Feb-20,10.1
23-Feb-20,3.1
24-Feb-20,5.7
25-Feb-20,13.6
26-Feb-20,26.3
27-Feb-20,41.3
28-Feb-20,41.9
29-Feb-20,26.9
1-Mar-20,8.3
2-Mar-20,8.5
3-Mar-20,13.7
4-Mar-20,30.5
5-Mar-20,44.6
6-Mar-20,28.5
7-Mar-20,25.4
8-Mar-20,34
9-Mar-20,16.5
10-Mar-20,14.8
11-Mar-20,23.4
12-Mar-20,40.6
13-Mar-20,27.7
14-Mar-20,37
15-Mar-20,40.8
16-Mar-20,21.7
17-Mar-20,18.8
18-Mar-20,22
19-Mar-20,38.4
20-Mar-20,26.9
21-Mar-20,40.4
22-Mar-20,47.1
23-Mar-20,21.3
24-Mar-20,15.6
25-Mar-20,33.7
26-Mar-20,32
27-Mar-20,34
28-Mar-20,32.5
29-Mar-20,34.5
30-Mar-20,38.4
31-Mar-20,43.2
1-Apr-20,40.1
2-Apr-20,35.7
3-Apr-20,28.3
4-Apr-20,28
5-Apr-20,38.2
6-Apr-20,40.1
7-Apr-20,43.3
8-Apr-20,33
9-Apr-20,29.9
10-Apr-20,45.5
11-Apr-20,41.4
12-Apr-20,26.4
13-Apr-20,18.8
14-Apr-20,34
15-Apr-20,53.1
16-Apr-20,29.9
17-Apr-20,21.6
18-Apr-20,19.5
19-Apr-20,22
20-Apr-20,36.9
21-Apr-20,27.4
22-Apr-20,29.8
23-Apr-20,38.2
24-Apr-20,15.5
25-Apr-20,21.4
26-Apr-20,42.5
27-Apr-20,37
28-Apr-20,41.6
29-Apr-20,36
30-Apr-20,34
1-May-20,42.7
2-May-20,50.3
3-May-20,52
4-May-20,36.3
5-May-20,46.6
6-May-20,38.8
7-May-20,23.8
8-May-20,39.3
9-May-20,28
10-May-20,33.9
11-May-20,24.1
12-May-20,22.7
13-May-20,38.4
14-May-20,24.3
15-May-20,27.5
16-May-20,36.8
17-May-20,55.1
18-May-20,50.7
19-May-20,43.4
20-May-20,46.5
21-May-20,36.3
22-May-20,34.2
23-May-20,43.1
24-May-20,56.4
25-May-20,58
26-May-20,46.5
27-May-20,53.9
28-May-20,56.8
29-May-20,59
30-May-20,63.2
31-May-20,64.2
1-Jun-20,53.7
2-Jun-20,36.9
3-Jun-20,35.2
4-Jun-20,40.7
5-Jun-20,59.8
6-Jun-20,59.8
7-Jun-20,66.3
8-Jun-20,61.9
9-Jun-20,45.3
10-Jun-20,44.9
11-Jun-20,52.1
12-Jun-20,62
13-Jun-20,65.9
14-Jun-20,52.3
15-Jun-20,42.5
16-Jun-20,42.1
17-Jun-20,48.7
18-Jun-20,49.2
19-Jun-20,57.3
20-Jun-20,63
21-Jun-20,62.7
22-Jun-20,63.4
23-Jun-20,63.4
24-Jun-20,63.8
25-Jun-20,65.7
26-Jun-20,58.2
27-Jun-20,52.5
28-Jun-20,53.8
29-Jun-20,62.2
30-Jun-20,66.5
1-Jul-20,63
2-Jul-20,61.8
3-Jul-20,62.9
4-Jul-20,61.1
5-Jul-20,66.7
6-Jul-20,63.9
7-Jul-20,64
8-Jul-20,63.4
9-Jul-20,67.5
10-Jul-20,69.6
11-Jul-20,68
12-Jul-20,71.3
13-Jul-20,70.8
14-Jul-20,61.3
15-Jul-20,60.7
16-Jul-20,59.2
17-Jul-20,63.5
18-Jul-20,59.1
19-Jul-20,67.1
20-Jul-20,64.5
21-Jul-20,67.4
22-Jul-20,67.8
23-Jul-20,62.4
24-Jul-20,70.7
25-Jul-20,69.9
26-Jul-20,68.8
27-Jul-20,68.2
28-Jul-20,63.5
29-Jul-20,62.4
30-Jul-20,67.2
31-Jul-20,67.4
1-Aug-20,61.6
2-Aug-20,66.8
3-Aug-20,64.9
4-Aug-20,72.6
5-Aug-20,65
6-Aug-20,69.3
7-Aug-20,62.2
8-Aug-20,60.3
9-Aug-20,64.9
10-Aug-20,66.8
11-Aug-20,68
12-Aug-20,69.5
13-Aug-20,71.6
14-Aug-20,72.5
15-Aug-20,69.1
16-Aug-20,66.3
17-Aug-20,59.7
18-Aug-20,62.6
19-Aug-20,61.6
20-Aug-20,59.9
21-Aug-20,61.9
22-Aug-20,53.3
23-Aug-20,62.1
24-Aug-20,65.7
25-Aug-20,68
26-Aug-20,67.1
27-Aug-20,63.9
28-Aug-20,51.8
29-Aug-20,63.3
30-Aug-20,64.8
31-Aug-20,69.5
