Date,Case-Total,Day,Avg_DP
2/29/2020,1,2/29/2020,8.5
3/1/2020,0,3/1/2020,13.7
3/2/2020,0,3/2/2020,30.5
3/3/2020,2,3/3/2020,44.6
3/4/2020,5,3/4/2020,28.5
3/5/2020,3,3/5/2020,25.4
3/6/2020,8,3/6/2020,34
3/7/2020,7,3/7/2020,16.5
3/8/2020,21,3/8/2020,14.8
3/9/2020,58,3/9/2020,23.4
3/10/2020,70,3/10/2020,40.6
3/11/2020,155,3/11/2020,27.7
3/12/2020,357,3/12/2020,37
3/13/2020,620,3/13/2020,40.8
3/14/2020,644,3/14/2020,21.7
3/15/2020,1037,3/15/2020,18.8
3/16/2020,2122,3/16/2020,22
3/17/2020,2453,3/17/2020,38.4
3/18/2020,2974,3/18/2020,26.9
3/19/2020,3707,3/19/2020,40.4
3/20/2020,4009,3/20/2020,47.1
3/21/2020,2638,3/21/2020,21.3
3/22/2020,2580,3/22/2020,15.6
3/23/2020,3572,3/23/2020,33.7
3/24/2020,4506,3/24/2020,32
3/25/2020,4863,3/25/2020,34
3/26/2020,5052,3/26/2020,32.5
3/27/2020,5129,3/27/2020,34.5
3/28/2020,3477,3/28/2020,38.4
3/29/2020,3561,3/29/2020,43.2
3/30/2020,6135,3/30/2020,40.1
3/31/2020,5472,3/31/2020,35.7
4/1/2020,5464,4/1/2020,28.3
4/2/2020,5769,4/2/2020,28
4/3/2020,5676,4/3/2020,38.2
4/4/2020,3867,4/4/2020,40.1
4/5/2020,3793,4/5/2020,43.3
4/6/2020,6377,4/6/2020,33
4/7/2020,6064,4/7/2020,29.9
4/8/2020,5587,4/8/2020,45.5
4/9/2020,5073,4/9/2020,41.4
4/10/2020,4517,4/10/2020,26.4
4/11/2020,3732,4/11/2020,18.8
4/12/2020,2890,4/12/2020,34
4/13/2020,3313,4/13/2020,53.1
4/14/2020,4147,4/14/2020,29.9
4/15/2020,3878,4/15/2020,21.6
4/16/2020,3530,4/16/2020,19.5
4/17/2020,3584,4/17/2020,22
4/18/2020,2173,4/18/2020,36.9
4/19/2020,2346,4/19/2020,27.4
4/20/2020,3793,4/20/2020,29.8
4/21/2020,3065,4/21/2020,38.2
4/22/2020,3462,4/22/2020,15.5
4/23/2020,2843,4/23/2020,21.4
4/24/2020,2539,4/24/2020,42.5
4/25/2020,1595,4/25/2020,37
4/26/2020,1003,4/26/2020,41.6
4/27/2020,2298,4/27/2020,36
4/28/2020,2730,4/28/2020,34
4/29/2020,2342,4/29/2020,42.7
4/30/2020,2024,4/30/2020,50.3
5/1/2020,1889,5/1/2020,52
5/2/2020,1060,5/2/2020,36.3
5/3/2020,785,5/3/2020,46.6
5/4/2020,1551,5/4/2020,38.8
5/5/2020,1513,5/5/2020,23.8
5/6/2020,1402,5/6/2020,39.3
5/7/2020,1235,5/7/2020,28
5/8/2020,1081,5/8/2020,33.9
5/9/2020,657,5/9/2020,24.1
5/10/2020,458,5/10/2020,22.7
5/11/2020,1233,5/11/2020,38.4
5/12/2020,1285,5/12/2020,24.3
5/13/2020,1336,5/13/2020,27.5
5/14/2020,1112,5/14/2020,36.8
5/15/2020,875,5/15/2020,55.1
5/16/2020,488,5/16/2020,50.7
5/17/2020,359,5/17/2020,43.4
5/18/2020,900,5/18/2020,46.5
5/19/2020,1004,5/19/2020,36.3
5/20/2020,1082,5/20/2020,34.2
5/21/2020,1072,5/21/2020,43.1
5/22/2020,1061,5/22/2020,56.4
5/23/2020,465,5/23/2020,58
5/24/2020,479,5/24/2020,46.5
5/25/2020,469,5/25/2020,53.9
5/26/2020,1055,5/26/2020,56.8
5/27/2020,745,5/27/2020,59
5/28/2020,646,5/28/2020,63.2
5/29/2020,647,5/29/2020,64.2
5/30/2020,348,5/30/2020,53.7
5/31/2020,231,5/31/2020,36.9
6/1/2020,688,6/1/2020,35.2
6/2/2020,574,6/2/2020,40.7
6/3/2020,514,6/3/2020,59.8
6/4/2020,510,6/4/2020,59.8
6/5/2020,404,6/5/2020,66.3
6/6/2020,247,6/6/2020,61.9
