Date,Case-Total,Date-1,Avg_DP
2/29/2020,1,2/22/2020,5.7
3/1/2020,0,2/23/2020,13.6
3/2/2020,0,2/24/2020,26.3
3/3/2020,2,2/25/2020,41.3
3/4/2020,5,2/26/2020,41.9
3/5/2020,3,2/27/2020,26.9
3/6/2020,8,2/28/2020,8.3
3/7/2020,7,2/29/2020,8.5
3/8/2020,21,3/1/2020,13.7
3/9/2020,58,3/2/2020,30.5
3/10/2020,70,3/3/2020,44.6
3/11/2020,155,3/4/2020,28.5
3/12/2020,357,3/5/2020,25.4
3/13/2020,620,3/6/2020,34
3/14/2020,644,3/7/2020,16.5
3/15/2020,1037,3/8/2020,14.8
3/16/2020,2122,3/9/2020,23.4
3/17/2020,2453,3/10/2020,40.6
3/18/2020,2974,3/11/2020,27.7
3/19/2020,3707,3/12/2020,37
3/20/2020,4009,3/13/2020,40.8
3/21/2020,2638,3/14/2020,21.7
3/22/2020,2580,3/15/2020,18.8
3/23/2020,3572,3/16/2020,22
3/24/2020,4506,3/17/2020,38.4
3/25/2020,4863,3/18/2020,26.9
3/26/2020,5052,3/19/2020,40.4
3/27/2020,5129,3/20/2020,47.1
3/28/2020,3477,3/21/2020,21.3
3/29/2020,3561,3/22/2020,15.6
3/30/2020,6135,3/23/2020,33.7
3/31/2020,5472,3/24/2020,32
4/1/2020,5464,3/25/2020,34
4/2/2020,5769,3/26/2020,32.5
4/3/2020,5676,3/27/2020,34.5
4/4/2020,3867,3/28/2020,38.4
4/5/2020,3793,3/29/2020,43.2
4/6/2020,6377,3/30/2020,40.1
4/7/2020,6064,3/31/2020,35.7
4/8/2020,5587,4/1/2020,28.3
4/9/2020,5073,4/2/2020,28
4/10/2020,4517,4/3/2020,38.2
4/11/2020,3732,4/4/2020,40.1
4/12/2020,2890,4/5/2020,43.3
4/13/2020,3313,4/6/2020,33
4/14/2020,4147,4/7/2020,29.9
4/15/2020,3878,4/8/2020,45.5
4/16/2020,3530,4/9/2020,41.4
4/17/2020,3584,4/10/2020,26.4
4/18/2020,2173,4/11/2020,18.8
4/19/2020,2346,4/12/2020,34
4/20/2020,3793,4/13/2020,53.1
4/21/2020,3065,4/14/2020,29.9
4/22/2020,3462,4/15/2020,21.6
4/23/2020,2843,4/16/2020,19.5
4/24/2020,2539,4/17/2020,22
4/25/2020,1595,4/18/2020,36.9
4/26/2020,1003,4/19/2020,27.4
4/27/2020,2298,4/20/2020,29.8
4/28/2020,2730,4/21/2020,38.2
4/29/2020,2342,4/22/2020,15.5
4/30/2020,2024,4/23/2020,21.4
5/1/2020,1889,4/24/2020,42.5
5/2/2020,1060,4/25/2020,37
5/3/2020,785,4/26/2020,41.6
5/4/2020,1551,4/27/2020,36
5/5/2020,1513,4/28/2020,34
5/6/2020,1402,4/29/2020,42.7
