Date,Case-Total,day,month
2/29/2020,1,29,2
3/1/2020,0,1,3
3/2/2020,0,2,3
3/3/2020,2,3,3
3/4/2020,5,4,3
3/5/2020,3,5,3
3/6/2020,8,6,3
3/7/2020,7,7,3
3/8/2020,21,8,3
3/9/2020,58,9,3
3/10/2020,70,10,3
3/11/2020,155,11,3
3/12/2020,357,12,3
3/13/2020,620,13,3
3/14/2020,644,14,3
3/15/2020,1037,15,3
3/16/2020,2122,16,3
3/17/2020,2453,17,3
3/18/2020,2974,18,3
3/19/2020,3707,19,3
3/20/2020,4009,20,3
3/21/2020,2638,21,3
3/22/2020,2580,22,3
3/23/2020,3572,23,3
3/24/2020,4506,24,3
3/25/2020,4863,25,3
3/26/2020,5052,26,3
3/27/2020,5129,27,3
3/28/2020,3477,28,3
3/29/2020,3561,29,3
3/30/2020,6135,30,3
3/31/2020,5472,31,3
4/1/2020,5464,1,4
4/2/2020,5769,2,4
4/3/2020,5676,3,4
4/4/2020,3867,4,4
4/5/2020,3793,5,4
4/6/2020,6377,6,4
4/7/2020,6064,7,4
4/8/2020,5587,8,4
4/9/2020,5073,9,4
4/10/2020,4517,10,4
4/11/2020,3732,11,4
4/12/2020,2890,12,4
4/13/2020,3313,13,4
4/14/2020,4147,14,4
4/15/2020,3878,15,4
4/16/2020,3530,16,4
4/17/2020,3584,17,4
4/18/2020,2173,18,4
4/19/2020,2346,19,4
4/20/2020,3793,20,4
4/21/2020,3065,21,4
4/22/2020,3462,22,4
4/23/2020,2843,23,4
4/24/2020,2539,24,4
4/25/2020,1595,25,4
4/26/2020,1003,26,4
4/27/2020,2298,27,4
4/28/2020,2730,28,4
4/29/2020,2342,29,4
4/30/2020,2024,30,4
5/1/2020,1889,1,5
5/2/2020,1060,2,5
5/3/2020,785,3,5
5/4/2020,1551,4,5
5/5/2020,1513,5,5
5/6/2020,1402,6,5
5/7/2020,1235,7,5
5/8/2020,1081,8,5
5/9/2020,657,9,5
5/10/2020,458,10,5
5/11/2020,1233,11,5
5/12/2020,1285,12,5
5/13/2020,1336,13,5
5/14/2020,1112,14,5
5/15/2020,875,15,5
5/16/2020,488,16,5
5/17/2020,359,17,5
5/18/2020,900,18,5
5/19/2020,1004,19,5
5/20/2020,1082,20,5
5/21/2020,1072,21,5
5/22/2020,1061,22,5
5/23/2020,465,23,5
5/24/2020,479,24,5
5/25/2020,469,25,5
5/26/2020,1055,26,5
5/27/2020,745,27,5
5/28/2020,646,28,5
5/29/2020,647,29,5
5/30/2020,348,30,5
5/31/2020,231,31,5
6/1/2020,688,1,6
6/2/2020,574,2,6
6/3/2020,514,3,6
6/4/2020,510,4,6
6/5/2020,404,5,6
6/6/2020,247,6,6
6/7/2020,199,7,6
6/8/2020,444,8,6
6/9/2020,421,9,6
6/10/2020,365,10,6
6/11/2020,368,11,6
6/12/2020,410,12,6
6/13/2020,196,13,6
6/14/2020,183,14,6
6/15/2020,379,15,6
6/16/2020,423,16,6
6/17/2020,356,17,6
6/18/2020,380,18,6
6/19/2020,361,19,6
6/20/2020,206,20,6
6/21/2020,176,21,6
6/22/2020,397,22,6
6/23/2020,383,23,6
6/24/2020,382,24,6
6/25/2020,297,25,6
6/26/2020,311,26,6
6/27/2020,208,27,6
6/28/2020,202,28,6
6/29/2020,437,29,6
6/30/2020,447,30,6
7/1/2020,398,1,7
7/2/2020,417,2,7
7/3/2020,230,3,7
7/4/2020,119,4,7
7/5/2020,155,5,7
7/6/2020,435,6,7
7/7/2020,463,7,7
7/8/2020,435,8,7
7/9/2020,395,9,7
7/10/2020,309,10,7
7/11/2020,256,11,7
7/12/2020,223,12,7
7/13/2020,481,13,7
7/14/2020,400,14,7
7/15/2020,439,15,7
7/16/2020,420,16,7
7/17/2020,415,17,7
7/18/2020,217,18,7
7/19/2020,175,19,7
7/20/2020,396,20,7
7/21/2020,337,21,7
7/22/2020,326,22,7
7/23/2020,306,23,7
7/24/2020,303,24,7
7/25/2020,152,25,7
7/26/2020,139,26,7
7/27/2020,318,27,7
7/28/2020,312,28,7
7/29/2020,287,29,7
7/30/2020,267,30,7
7/31/2020,262,31,7
8/1/2020,184,1,8
8/2/2020,136,2,8
8/3/2020,353,3,8
8/4/2020,192,4,8
8/5/2020,311,5,8
8/6/2020,287,6,8
8/7/2020,264,7,8
8/8/2020,158,8,8
8/9/2020,133,9,8
8/10/2020,299,10,8
8/11/2020,258,11,8
8/12/2020,319,12,8
8/13/2020,260,13,8
8/14/2020,271,14,8
8/15/2020,150,15,8
8/16/2020,138,16,8
8/17/2020,329,17,8
8/18/2020,279,18,8
8/19/2020,279,19,8
8/20/2020,219,20,8
8/21/2020,243,21,8
8/22/2020,139,22,8
8/23/2020,148,23,8
8/24/2020,297,24,8
8/25/2020,278,25,8
8/26/2020,304,26,8
8/27/2020,254,27,8
8/28/2020,262,28,8
8/29/2020,114,29,8
8/30/2020,166,30,8
8/31/2020,266,31,8
9/1/2020,192,1,9
9/2/2020,141,2,9
9/3/2020,67,3,9
9/4/2020,14,4,9
