Day,Max,Avg_DP,Min,day,month
1-Jan-20,26,20.2,17,1,1
2-Jan-20,33,24.9,18,2,1
3-Jan-20,44,40.9,33,3,1
4-Jan-20,47,43.6,34,4,1
5-Jan-20,32,21.8,16,5,1
6-Jan-20,29,25.2,16,6,1
7-Jan-20,32,22.7,17,7,1
8-Jan-20,28,20.4,8,8,1
9-Jan-20,18,7.8,1,9,1
10-Jan-20,43,34.6,20,10,1
11-Jan-20,52,47.8,44,11,1
12-Jan-20,59,46.6,30,12,1
13-Jan-20,41,35.7,27,13,1
14-Jan-20,41,36.5,33,14,1
15-Jan-20,41,35.2,27,15,1
16-Jan-20,43,33.3,18,16,1
17-Jan-20,18,4,-1,17,1
18-Jan-20,35,17.5,-2,18,1
19-Jan-20,34,24.9,10,19,1
20-Jan-20,12,5.3,0,20,1
21-Jan-20,10,8,4,21,1
22-Jan-20,23,15.5,9,22,1
23-Jan-20,29,19.5,14,23,1
24-Jan-20,32,28.5,22,24,1
25-Jan-20,47,38.6,31,25,1
26-Jan-20,36,28.7,24,26,1
27-Jan-20,28,27,25,27,1
28-Jan-20,26,24.8,21,28,1
29-Jan-20,20,16.2,12,29,1
30-Jan-20,23,16.2,8,30,1
31-Jan-20,34,29.9,23,31,1
1-Feb-20,37,34.9,33,1,2
2-Feb-20,34,30.9,24,2,2
3-Feb-20,36,33.1,31,3,2
4-Feb-20,48,40.5,35,4,2
5-Feb-20,41,27.1,17,5,2
6-Feb-20,38,35.4,26,6,2
7-Feb-20,52,33,16,7,2
8-Feb-20,26,16,13,8,2
9-Feb-20,32,27.9,24,9,2
10-Feb-20,43,37.6,28,10,2
11-Feb-20,45,40.5,32,11,2
12-Feb-20,32,23.9,18,12,2
13-Feb-20,39,35.1,27,13,2
14-Feb-20,27,10.3,-2,14,2
15-Feb-20,16,6,-3,15,2
16-Feb-20,28,23.3,19,16,2
17-Feb-20,28,23.5,18,17,2
18-Feb-20,41,34.5,21,18,2
19-Feb-20,42,21.6,10,19,2
20-Feb-20,15,10.1,5,20,2
21-Feb-20,9,3.1,-4,21,2
22-Feb-20,9,5.7,3,22,2
23-Feb-20,29,13.6,7,23,2
24-Feb-20,37,26.3,11,24,2
25-Feb-20,43,41.3,33,25,2
26-Feb-20,43,41.9,39,26,2
27-Feb-20,42,26.9,8,27,2
28-Feb-20,13,8.3,4,28,2
29-Feb-20,15,8.5,6,29,2
1-Mar-20,17,13.7,10,1,3
2-Mar-20,38,30.5,17,2,3
3-Mar-20,50,44.6,35,3,3
4-Mar-20,37,28.5,19,4,3
5-Mar-20,34,25.4,19,5,3
