date,New_Cases
3/1/2020,1
3/2/2020,0
3/3/2020,1
3/4/2020,9
3/5/2020,11
3/6/2020,22
3/7/2020,45
3/8/2020,17
3/9/2020,36
3/10/2020,31
3/11/2020,44
3/12/2020,109
3/13/2020,95
3/14/2020,189
3/15/2020,122
3/16/2020,218
3/17/2020,425
3/18/2020,1012
3/19/2020,1774
3/20/2020,2952
3/21/2020,3258
3/22/2020,4817
3/23/2020,5711
3/24/2020,4805
3/25/2020,7413
3/26/2020,5941
3/27/2020,5688
3/28/2020,8771
3/29/2020,6266
3/30/2020,7721
3/31/2020,8707
4/1/2020,8153
4/2/2020,8996
4/3/2020,10329
4/4/2020,12274
4/5/2020,8122
4/6/2020,9304
4/7/2020,8314
4/8/2020,9568
4/9/2020,10765
4/10/2020,10794
4/11/2020,10160
4/12/2020,8435
4/13/2020,6548
4/14/2020,7402
4/15/2020,11755
4/16/2020,8631
4/17/2020,7532
4/18/2020,7249
4/19/2020,6199
4/20/2020,4867
4/21/2020,4324
4/22/2020,5659
4/23/2020,6341
4/24/2020,8286
4/25/2020,10683
4/26/2020,6013
4/27/2020,4077
4/28/2020,3285
4/29/2020,4718
4/30/2020,4702
5/1/2020,3879
5/2/2020,4559
5/3/2020,3699
5/4/2020,2524
5/5/2020,2302
5/6/2020,2746
5/7/2020,3526
5/8/2020,2873
5/9/2020,2715
5/10/2020,2138
5/11/2020,1610
5/12/2020,1438
5/13/2020,2123
5/14/2020,2364
5/15/2020,2759
5/16/2020,2185
5/17/2020,1901
5/18/2020,1241
5/19/2020,1479
5/20/2020,1478
5/21/2020,2078
5/22/2020,1678
5/23/2020,1754
5/24/2020,1601
5/25/2020,1279
5/26/2020,1044
5/27/2020,1132
5/28/2020,1758
5/29/2020,1549
5/30/2020,1363
5/31/2020,1104
6/1/2020,945
6/2/2020,1361
6/3/2020,1043
6/4/2020,1053
6/5/2020,1042
6/6/2020,1083
6/7/2020,777
6/8/2020,712
6/9/2020,690
6/10/2020,664
6/11/2020,724
6/12/2020,821
6/13/2020,912
6/14/2020,694
6/15/2020,623
6/16/2020,630
6/17/2020,561
6/18/2020,626
6/19/2020,794
6/20/2020,707
6/21/2020,665
6/22/2020,555
6/23/2020,598
6/24/2020,575
6/25/2020,738
6/26/2020,804
6/27/2020,697
6/28/2020,624
6/29/2020,391
6/30/2020,458
7/1/2020,628
7/2/2020,872
7/3/2020,919
7/4/2020,725
7/5/2020,536
7/6/2020,516
7/7/2020,590
7/8/2020,691
7/9/2020,588
7/10/2020,790
7/11/2020,727
7/12/2020,679
7/13/2020,559
7/14/2020,913
7/15/2020,834
7/16/2020,767
7/17/2020,778
7/18/2020,752
7/19/2020,509
7/20/2020,519
7/21/2020,855
7/22/2020,706
7/23/2020,810
7/24/2020,758
7/25/2020,748
7/26/2020,532
7/27/2020,613
7/28/2020,535
7/29/2020,711
7/30/2020,779
7/31/2020,642
8/1/2020,754
8/2/2020,531
8/3/2020,542
8/4/2020,746
8/5/2020,639
8/6/2020,694
8/7/2020,720
8/8/2020,706
8/9/2020,513
8/10/2020,478
8/11/2020,667
8/12/2020,706
8/13/2020,736
8/14/2020,724
8/15/2020,738
8/16/2020,609
8/17/2020,410
8/18/2020,662
8/19/2020,626
8/20/2020,599
8/21/2020,707
8/22/2020,651
8/23/2020,581
8/24/2020,404
8/25/2020,629
8/26/2020,568
8/27/2020,789
8/28/2020,635
8/29/2020,635
8/30/2020,709
8/31/2020,649
9/1/2020,757
9/2/2020,710
9/3/2020,888
9/4/2020,863
9/5/2020,799
9/6/2020,729
9/7/2020,525
9/8/2020,557
9/9/2020,573
9/10/2020,756
9/11/2020,861
9/12/2020,849
9/13/2020,725
9/14/2020,586
9/15/2020,767
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
