date,area_name,new_cases,total_cases
1/30/2020,London,0,0
1/30/2020,Rest of England,1,1
1/31/2020,London,0,0
1/31/2020,Rest of England,0,1
2/1/2020,London,0,0
2/1/2020,Rest of England,0,1
2/2/2020,London,0,0
2/2/2020,Rest of England,0,1
2/3/2020,London,0,0
2/3/2020,Rest of England,0,1
2/4/2020,London,0,0
2/4/2020,Rest of England,0,1
2/5/2020,London,0,0
2/5/2020,Rest of England,1,2
2/6/2020,London,0,0
2/6/2020,Rest of England,0,2
2/7/2020,London,0,0
2/7/2020,Rest of England,0,2
2/8/2020,London,0,0
2/8/2020,Rest of England,4,6
2/9/2020,London,0,0
2/9/2020,Rest of England,1,7
2/10/2020,London,0,0
2/10/2020,Rest of England,0,7
2/11/2020,London,1,1
2/11/2020,Rest of England,0,7
2/12/2020,London,0,1
2/12/2020,Rest of England,0,7
2/13/2020,London,0,1
2/13/2020,Rest of England,0,7
2/14/2020,London,0,1
2/14/2020,Rest of England,0,7
2/15/2020,London,0,1
2/15/2020,Rest of England,0,7
2/16/2020,London,0,1
2/16/2020,Rest of England,0,7
2/17/2020,London,0,1
2/17/2020,Rest of England,0,7
2/18/2020,London,0,1
2/18/2020,Rest of England,0,7
2/19/2020,London,0,1
2/19/2020,Rest of England,0,7
2/20/2020,London,0,1
2/20/2020,Rest of England,0,7
2/21/2020,London,0,1
2/21/2020,Rest of England,1,8
2/22/2020,London,0,1
2/22/2020,Rest of England,0,8
2/23/2020,London,0,1
2/23/2020,Rest of England,1,9
2/24/2020,London,1,2
2/24/2020,Rest of England,1,10
2/25/2020,London,3,5
2/25/2020,Rest of England,2,12
2/26/2020,London,2,7
2/26/2020,Rest of England,2,14
2/27/2020,London,2,9
2/27/2020,Rest of England,5,19
2/28/2020,London,3,12
2/28/2020,Rest of England,8,27
2/29/2020,London,1,13
2/29/2020,Rest of England,3,30
3/1/2020,London,4,17
3/1/2020,Rest of England,16,46
3/2/2020,London,12,29
3/2/2020,Rest of England,25,71
